Date,Time,Device Name,Device Type,Property,Value
07-mar.-2023,13:03,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,13:05,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,13:07,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,13:08,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,13:09,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,13:16,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,13:22,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,13:26,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,13:40,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,15:01,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,15:04,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,15:05,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,15:07,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,15:11,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,15:12,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,15:14,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,15:25,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,15:28,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,15:30,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,15:36,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,15:39,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,15:42,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,15:42,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,16:07,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,16:07,Unknown Device,Unknown,Endpoint Health,OK
07-mar.-2023,16:07,Unknown Device,Unknown,Power,ON
07-mar.-2023,16:07,Unknown Device,Unknown,Power,OFF
07-mar.-2023,16:07,Unknown Device,Unknown,Power,ON
07-mar.-2023,16:08,Unknown Device,Unknown,Power,OFF
07-mar.-2023,16:12,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,16:12,Unknown Device,Unknown,Endpoint Health,OK
07-mar.-2023,16:12,Unknown Device,Unknown,Power,OFF
07-mar.-2023,16:13,Unknown Device,Unknown,Power,ON
07-mar.-2023,16:13,Unknown Device,Unknown,Power,ON
07-mar.-2023,16:16,Unknown Device,Unknown,Power,OFF
07-mar.-2023,16:16,Unknown Device,Unknown,Power,OFF
07-mar.-2023,16:19,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
07-mar.-2023,16:19,Unknown Device,Unknown,Endpoint Health,UNREACHABLE
11-May-2023,15:29,Fechadura,SMARTLOCK,Lock State,LOCKED
11-May-2023,15:50,Fechadura,SMARTLOCK,Lock State,UNLOCKED
11-May-2023,15:51,Fechadura,SMARTLOCK,Lock State,LOCKED
11-May-2023,15:51,Fechadura,SMARTLOCK,Lock State,UNLOCKED
11-May-2023,15:56,Fechadura,SMARTLOCK,Lock State,LOCKED
11-May-2023,15:56,Fechadura,SMARTLOCK,Lock State,UNLOCKED
11-May-2023,15:57,Fechadura,SMARTLOCK,Lock State,LOCKED
11-May-2023,15:57,Fechadura,SMARTLOCK,Lock State,UNLOCKED
11-May-2023,16:00,Fechadura,SMARTLOCK,Lock State,LOCKED
11-May-2023,16:01,Fechadura,SMARTLOCK,Lock State,UNLOCKED
11-May-2023,16:01,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,09:34,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,09:34,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,09:34,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,09:34,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,09:35,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,09:35,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,09:37,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,09:38,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,10:38,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,10:38,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,10:40,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,10:40,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,11:50,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,11:51,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,11:52,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,11:52,Fechadura,SMARTLOCK,Lock State,LOCKED
