Date,Time,Device Name,Device Type,Property,Value
11-May-2023,15:29,Fechadura,SMARTLOCK,Lock State,LOCKED
11-May-2023,15:50,Fechadura,SMARTLOCK,Lock State,UNLOCKED
11-May-2023,15:51,Fechadura,SMARTLOCK,Lock State,LOCKED
11-May-2023,15:51,Fechadura,SMARTLOCK,Lock State,UNLOCKED
11-May-2023,15:56,Fechadura,SMARTLOCK,Lock State,LOCKED
11-May-2023,15:56,Fechadura,SMARTLOCK,Lock State,UNLOCKED
11-May-2023,15:57,Fechadura,SMARTLOCK,Lock State,LOCKED
11-May-2023,15:57,Fechadura,SMARTLOCK,Lock State,UNLOCKED
11-May-2023,16:00,Fechadura,SMARTLOCK,Lock State,LOCKED
11-May-2023,16:01,Fechadura,SMARTLOCK,Lock State,UNLOCKED
11-May-2023,16:01,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,09:34,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,09:34,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,09:34,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,09:34,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,09:35,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,09:35,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,09:37,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,09:38,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,10:38,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,10:38,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,10:40,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,10:40,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,11:50,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,11:51,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,11:52,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,11:52,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,12:56,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,12:56,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,12:56,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,12:56,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,13:06,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,13:06,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,13:11,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,13:11,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,13:11,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,13:12,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,13:12,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,13:12,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,13:12,Fechadura,SMARTLOCK,Lock State,UNLOCKED
12-May-2023,13:13,Fechadura,SMARTLOCK,Lock State,LOCKED
12-May-2023,13:13,Fechadura,SMARTLOCK,Lock State,UNLOCKED
